"cond_num","s","solution_error","residual_norm","condition_number"
10,50,1.3033413714672e-15,1.29674088105458e-14,25.9350418378994
100,50,7.34320064893663e-15,1.02613711976127e-13,208.239593962903
1000,50,3.05714291281215e-14,5.4663911002401e-13,2196.0543289306
10000,50,2.85667583067779e-13,5.81354395550837e-12,29518.0295371508
1e+06,50,3.90099533803761e-11,1.01127387054491e-09,1127115.58695157
10,100,1.07197955316146e-15,9.55683468071376e-15,18.2544687833651
100,100,4.01320053896695e-15,7.77199951567802e-14,176.524045233377
1000,100,2.0176444326166e-14,4.32759767801546e-13,1996.88756080976
10000,100,1.53719284693549e-13,3.97298251470543e-12,25753.3270302996
1e+06,100,2.95252714027544e-11,8.80842191241437e-10,903390.742540084
10,200,8.97505762463605e-16,7.79842222518041e-15,16.9161726544924
100,200,3.32710241570503e-15,6.49794737423298e-14,176.542081125993
1000,200,1.29712818601812e-14,3.81905095969584e-13,1913.53591695035
10000,200,8.63223465786382e-14,3.43472633956742e-12,24541.1922445184
1e+06,200,2.27402650788449e-11,7.98897942268568e-10,804319.127001398
