"s","sketch_prec","solve_prec","residual_ratio","solution_error","condition_number"
50,"bfloat16","double",1.31523950532632,0.0191414138858388,7.41839772282113
100,"bfloat16","double",1.1395040557031,0.0122450910080788,4.32188774470245
200,"bfloat16","double",1.06170492646324,0.00790325917850337,3.17059998401131
50,"double","double",1.27998262044018,0.0178080942371168,7.17147200960981
100,"double","double",1.11890966599657,0.0111691990776061,4.23465884940614
200,"double","double",1.05037500581814,0.00705374683746305,3.10571944835561
50,"half","double",1.25987061153166,0.016947923964934,6.97213115857554
100,"half","double",1.12341069559735,0.0114572070202525,4.3772531744106
200,"half","double",1.05199768439122,0.00723050487328494,3.09118182834675
50,"single","double",1.31658289679798,0.0192220520928675,7.73826315704205
100,"single","double",1.11253229634497,0.0111163791251588,4.50169547986263
200,"single","double",1.05162741916658,0.00722706990928404,3.17491048692077
