"s","sketch_prec","solve_prec","trial","residual_ratio","solution_error","condition_number"
50,"double","double",1,1.32796836412338,0.0194846000255745,6.76950820322853
50,"double","double",2,1.31889355099218,0.0186311270843861,7.15071392813395
50,"double","double",3,1.36577882617434,0.0212802158511601,7.33917268493688
50,"double","double",4,1.20307453676397,0.0156492759978928,5.98311401948957
50,"double","double",5,1.19925600893458,0.0149302083637091,7.3743364104861
50,"double","double",6,1.25910686654519,0.0170179054995399,9.69353113675509
50,"double","double",7,1.34867008385422,0.0201961933499311,6.59441272447599
50,"double","double",8,1.15374582580558,0.0123154365940315,7.192776215662
50,"double","double",9,1.27522238728329,0.0179942902879208,7.89217765721686
50,"double","double",10,1.23016543215628,0.0156144848748756,7.81366100966383
50,"double","double",11,1.24314409765938,0.015622369808413,6.36530353619308
50,"double","double",12,1.2849265721193,0.0177273363357275,6.7708746068977
50,"double","double",13,1.30168746678541,0.0190390853311116,5.63940773509153
50,"double","double",14,1.4077372886006,0.0223461351541265,6.87933062314815
50,"double","double",15,1.2923253364243,0.0185973311018968,6.17438248525162
50,"double","double",16,1.3130642561291,0.0197786721355591,7.78452229751711
50,"double","double",17,1.15975621661916,0.0135709251542963,8.87317960479697
50,"double","double",18,1.25549096690392,0.0175239542075119,5.90392162300349
50,"double","double",19,1.37198396464694,0.0212176912270419,9.21142829400405
50,"double","double",20,1.28765436028256,0.0176246463576304,6.02368539624365
50,"single","double",1,1.17862975186684,0.0142981061862094,8.2807984678889
50,"single","double",2,1.15206912667869,0.0131283054522027,10.9807481011828
50,"single","double",3,1.5856751073329,0.0288472969324423,10.3252668025559
50,"single","double",4,1.35216059725687,0.0204685363056602,5.56727383109641
50,"single","double",5,1.4912050112173,0.0243427982505821,6.82099069744639
50,"single","double",6,1.43883988393137,0.0243518961386705,7.16674669346284
50,"single","double",7,1.25880276037111,0.0171042256947047,7.56070262209274
50,"single","double",8,1.32325539381386,0.0197490754112959,4.9050768197688
50,"single","double",9,1.17023255609531,0.013480959359304,6.17124103359187
50,"single","double",10,1.11992451001515,0.0118001646646046,9.83297965978897
50,"single","double",11,1.26402957373306,0.0170367707466626,9.13642683879994
50,"single","double",12,1.49009470659941,0.0242463681569144,11.3170792030216
50,"single","double",13,1.31733716572347,0.0192143518625719,7.1520795408053
50,"single","double",14,1.24311089057068,0.0176035866369525,5.27382903418362
50,"single","double",15,1.18266567435099,0.0141491392801867,6.30269414927552
50,"single","double",16,1.57451571674856,0.0297024284966391,7.04051561718626
50,"single","double",17,1.31640302745994,0.018714996633206,7.48191833886095
