"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed","basis_mode"
1,5,0.01,"gaussian","double","double",0.840865404449165,2.20006629312072,0.00999999999999976,122.846926359144,0.0610000000000001,20260528,"shared"
2,5,0.01,"gaussian","double","double",0.815663922234512,2.84919837227589,0.00999999999999979,113.856658388496,0.0169999999999999,20260529,"shared"
3,5,0.01,"gaussian","double","double",1.00212871492092,2.1989302992916,0.00999999999999972,276.377582215115,0.016,20260530,"shared"
4,5,0.01,"gaussian","double","double",0.786285268568016,2.30421810274033,0.00999999999999988,117.087545389199,0.00900000000000001,20260531,"shared"
5,5,0.01,"gaussian","double","double",0.830658859863307,2.27042008247968,0.00999999999999983,140.460747352612,0.01,20260532,"shared"
6,5,0.01,"gaussian","double","double",0.915663234305227,2.12840123229944,0.00999999999999986,190.624559258377,0.011,20260533,"shared"
7,5,0.01,"gaussian","double","double",0.867417926720172,2.29563389594973,0.00999999999999947,163.53266114531,0.011,20260534,"shared"
8,5,0.01,"gaussian","double","double",0.84610853085651,2.33712893066489,0.00999999999999975,144.052124853891,0.00800000000000001,20260535,"shared"
9,5,0.01,"gaussian","double","double",0.818952443466026,2.53358730683316,0.00999999999999978,120.584191757767,0.00800000000000001,20260536,"shared"
10,5,0.01,"gaussian","double","double",0.840102405722737,2.34097786290421,0.00999999999999984,95.6048110631126,0.00900000000000001,20260537,"shared"
11,5,0.01,"gaussian","double","double",0.935504737603834,2.27401544724226,0.00999999999999971,167.491886987647,0.01,20260538,"shared"
12,5,0.01,"gaussian","double","double",0.757562295364268,2.08135675643565,0.00999999999999978,168.451449932313,0.00900000000000001,20260539,"shared"
13,5,0.01,"gaussian","double","double",0.794993581405118,2.12932871873465,0.0099999999999998,129.134349017351,0.011,20260540,"shared"
14,5,0.01,"gaussian","double","double",0.756036811532744,2.29028741884774,0.00999999999999991,104.652839316575,0.00900000000000001,20260541,"shared"
15,5,0.01,"gaussian","double","double",0.804826826593472,2.27189031235735,0.00999999999999965,135.57255208922,0.00700000000000001,20260542,"shared"
16,5,0.01,"gaussian","double","double",0.794717119734228,2.39109792304003,0.00999999999999987,100.580407318642,0.00800000000000001,20260543,"shared"
17,5,0.01,"gaussian","double","double",0.810315435250797,2.45690091862738,0.00999999999999991,128.586873913351,0.018,20260544,"shared"
18,5,0.01,"gaussian","double","double",0.996059337629465,2.32620154035183,0.00999999999999973,190.753058817347,0.012,20260545,"shared"
19,5,0.01,"gaussian","double","double",0.828443282657973,2.29028537232736,0.00999999999999981,158.169470014262,0.011,20260546,"shared"
20,5,0.01,"gaussian","double","double",0.862629940298273,2.62757743885765,0.00999999999999982,127.199072857728,0.016,20260547,"shared"
1,10,0.01,"gaussian","double","double",0.71980518663075,1.89790474805845,0.00999999999999977,190.278498763538,0.0140000000000001,20260548,"shared"
2,10,0.01,"gaussian","double","double",0.747866223882307,2.35632640657842,0.0099999999999995,213.358571247539,0.0429999999999999,20260549,"shared"
3,10,0.01,"gaussian","double","double",0.724393780135507,2.08947328276947,0.00999999999999979,287.723155177175,0.0109999999999999,20260550,"shared"
4,10,0.01,"gaussian","double","double",0.68405202003635,2.02628921879145,0.00999999999999981,195.818591720556,0.022,20260551,"shared"
5,10,0.01,"gaussian","double","double",0.756064403453509,2.05669428412268,0.00999999999999971,169.74512546738,0.012,20260552,"shared"
6,10,0.01,"gaussian","double","double",0.685260884575074,2.2328037009008,0.00999999999999983,150.437036149416,0.01,20260553,"shared"
7,10,0.01,"gaussian","double","double",0.71479777683652,1.87943941662564,0.00999999999999987,186.893164769905,0.012,20260554,"shared"
8,10,0.01,"gaussian","double","double",0.847328354307401,2.15238241724727,0.00999999999999973,205.461998434434,0.00500000000000012,20260555,"shared"
9,10,0.01,"gaussian","double","double",0.725486816018476,2.10285049708859,0.0099999999999996,197.540123672994,0.00600000000000001,20260556,"shared"
10,10,0.01,"gaussian","double","double",0.702641718697165,2.04527278998502,0.00999999999999975,243.129859999962,0.00700000000000012,20260557,"shared"
11,10,0.01,"gaussian","double","double",0.822355231881811,2.09819572906443,0.00999999999999972,206.679729076345,0.01,20260558,"shared"
12,10,0.01,"gaussian","double","double",0.766111854355139,2.32740139855205,0.00999999999999978,162.372503066787,0.00800000000000001,20260559,"shared"
13,10,0.01,"gaussian","double","double",0.804016478957994,1.94863815633368,0.00999999999999979,250.95373776757,0.00800000000000001,20260560,"shared"
14,10,0.01,"gaussian","double","double",0.751959196270724,1.85098757403971,0.00999999999999984,207.212633452175,0.0169999999999999,20260561,"shared"
15,10,0.01,"gaussian","double","double",0.654815163844425,2.04848542425919,0.00999999999999979,175.615050112888,0.014,20260562,"shared"
16,10,0.01,"gaussian","double","double",0.67325574799866,2.24209904837002,0.00999999999999978,198.822091591061,0.012,20260563,"shared"
17,10,0.01,"gaussian","double","double",0.671196410049843,1.92698271658713,0.00999999999999969,175.26797533153,0.0150000000000001,20260564,"shared"
18,10,0.01,"gaussian","double","double",0.673732968582049,1.98419556414868,0.00999999999999979,207.619167637399,0.02,20260565,"shared"
19,10,0.01,"gaussian","double","double",0.662510135429479,2.22397699260087,0.00999999999999986,181.974706508087,0.024,20260566,"shared"
20,10,0.01,"gaussian","double","double",0.753431109400414,2.01933426745129,0.00999999999999984,223.623383985387,0.016,20260567,"shared"
1,15,0.01,"gaussian","double","double",0.626862707892499,1.6669621874047,0.0099999999999999,195.260937575091,0.016,20260568,"shared"
2,15,0.01,"gaussian","double","double",0.709164815948095,1.8466315796628,0.00999999999999974,339.80330623206,0.0249999999999999,20260569,"shared"
3,15,0.01,"gaussian","double","double",0.596368447965226,1.65748522175004,0.00999999999999983,235.73204126544,0.0190000000000001,20260570,"shared"
4,15,0.01,"gaussian","double","double",0.601183756458554,1.65417155511508,0.00999999999999969,250.212342573673,0.0249999999999999,20260571,"shared"
5,15,0.01,"gaussian","double","double",0.707575691174773,1.75956805337399,0.00999999999999984,202.250869788082,0.018,20260572,"shared"
6,15,0.01,"gaussian","double","double",0.578294624625568,1.68252002275592,0.00999999999999991,202.686470304829,0.0139999999999998,20260573,"shared"
7,15,0.01,"gaussian","double","double",0.749365399556491,1.79719196044704,0.00999999999999981,224.318372187344,0.00800000000000001,20260574,"shared"
8,15,0.01,"gaussian","double","double",0.690685019468459,1.69512420723486,0.00999999999999973,209.914974133095,0.00900000000000012,20260575,"shared"
9,15,0.01,"gaussian","double","double",0.698287735111609,1.64895812920102,0.0099999999999996,228.54057425469,0.016,20260576,"shared"
10,15,0.01,"gaussian","double","double",0.800031096233746,1.61472094131497,0.00999999999999966,260.196059281056,0.00900000000000012,20260577,"shared"
11,15,0.01,"gaussian","double","double",0.711724008088109,1.64146388462752,0.00999999999999972,262.143778985153,0.0309999999999999,20260578,"shared"
12,15,0.01,"gaussian","double","double",0.626226939277532,1.67975808563089,0.00999999999999983,184.758421876638,0.026,20260579,"shared"
