"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
1,20,1e-06,"gaussian","double","double",0.644584551057266,138.146377035294,9.99999999935889e-07,2561329.97890635,0.017,20260528
2,20,1e-06,"gaussian","double","double",0.59254000529932,162.680496614532,9.99999999881037e-07,2844962.6073423,0.00800000000000001,20260529
3,20,1e-06,"gaussian","double","double",0.872319377465354,129.36448710294,9.99999999861691e-07,3600066.11682065,0.005,20260530
4,20,1e-06,"gaussian","double","double",0.671242467624079,151.500004461112,9.99999999829053e-07,2917623.78570435,0.00800000000000001,20260531
5,20,1e-06,"gaussian","double","double",0.615313147145745,155.080472174441,9.99999999885661e-07,2759090.77571319,0.004,20260532
6,20,1e-06,"gaussian","double","double",0.78451388161421,128.599003504793,9.9999999987471e-07,2909472.36116538,0.004,20260533
7,20,1e-06,"gaussian","double","double",0.737649093505446,138.263975618183,9.9999999981358e-07,2784128.14132417,0.005,20260534
8,20,1e-06,"gaussian","double","double",0.691019129161432,149.927969200652,9.99999999819163e-07,3732599.26528125,0.00499999999999995,20260535
9,20,1e-06,"gaussian","double","double",0.597832422243365,124.939248221135,9.99999999888057e-07,2538962.35432268,0.00600000000000001,20260536
10,20,1e-06,"gaussian","double","double",0.627833534249267,147.009606570684,9.99999999873538e-07,1902165.55566289,0.004,20260537
11,20,1e-06,"gaussian","double","double",0.761025142344539,131.767433343321,9.9999999975958e-07,4148642.52677757,0.00600000000000001,20260538
12,20,1e-06,"gaussian","double","double",0.642441972211985,136.966248368743,9.9999999988165e-07,3207467.30570864,0.004,20260539
13,20,1e-06,"gaussian","double","double",0.607127979122505,141.973100279756,9.99999999874982e-07,2588693.73641798,0.00800000000000001,20260540
14,20,1e-06,"gaussian","double","double",0.592714109814959,145.315712008718,9.99999999880381e-07,2925067.60677072,0.00700000000000001,20260541
15,20,1e-06,"gaussian","double","double",0.593602706242772,126.080332467746,9.99999999898058e-07,3264669.3791446,0.00599999999999995,20260542
16,20,1e-06,"gaussian","double","double",0.544043986496293,130.462346776086,9.99999999872288e-07,2830553.39624967,0.00600000000000001,20260543
17,20,1e-06,"gaussian","double","double",0.554869248732707,147.905668420847,9.99999999855096e-07,2638288.96796619,0.00700000000000001,20260544
18,20,1e-06,"gaussian","double","double",0.83067077116991,128.115158895665,9.99999999865005e-07,4061026.48605914,0.005,20260545
19,20,1e-06,"gaussian","double","double",0.591352586034103,128.710068278567,9.99999999847205e-07,2637757.44437595,0.005,20260546
20,20,1e-06,"gaussian","double","double",0.676817464286515,140.393902652305,9.99999999800806e-07,3005155.7115927,0.004,20260547
1,20,1e-04,"gaussian","double","double",0.647444705839828,14.6444395769959,9.99999999998654e-05,27735.5696507287,0.00700000000000001,20260548
