"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed","forward_bound","basis_mode"
1,20,0.01,"gaussian","double","double",0.644584551057266,1.32520570684392,0.00999999999999986,177.841899538831,0.00600000000000001,20260528,1.53917117501331e-14,"shared"
2,20,0.01,"gaussian","double","double",0.59254000529932,1.53963622083275,0.00999999999999984,182.602323809386,0.004,20260529,1.53917117501331e-14,"shared"
3,20,0.01,"gaussian","double","double",0.872319377465354,1.23754021871849,0.00999999999999989,347.142330831018,0.002,20260530,1.53917117501331e-14,"shared"
4,20,0.01,"gaussian","double","double",0.671242467624079,1.42164592749667,0.00999999999999986,216.1953066917,0.002,20260531,1.53917117501331e-14,"shared"
5,20,0.01,"gaussian","double","double",0.615313147145745,1.47984217748372,0.0099999999999998,228.498320432161,0.00299999999999997,20260532,1.53917117501331e-14,"shared"
6,20,0.01,"gaussian","double","double",0.78451388161421,1.19426471988681,0.0099999999999998,239.079951467159,0.003,20260533,1.53917117501331e-14,"shared"
7,20,0.01,"gaussian","double","double",0.737649093505446,1.34220295845431,0.00999999999999985,204.797543652536,0.002,20260534,1.53917117501331e-14,"shared"
8,20,0.01,"gaussian","double","double",0.691019129161432,1.38751390879272,0.00999999999999988,291.349862171418,0.002,20260535,1.53917117501331e-14,"shared"
9,20,0.01,"gaussian","double","double",0.597832422243365,1.17140010741747,0.00999999999999977,211.482679519735,0.003,20260536,1.53917117501331e-14,"shared"
10,20,0.01,"gaussian","double","double",0.627833534249267,1.37877194873932,0.00999999999999994,181.779092079152,0.002,20260537,1.53917117501331e-14,"shared"
11,20,0.01,"gaussian","double","double",0.761025142344539,1.23514476965879,0.00999999999999984,294.355983904349,0.002,20260538,1.53917117501331e-14,"shared"
12,20,0.01,"gaussian","double","double",0.642441972211985,1.2682999138455,0.00999999999999988,252.221360558305,0.001,20260539,1.53917117501331e-14,"shared"
13,20,0.01,"gaussian","double","double",0.607127979122505,1.35684310006299,0.00999999999999984,193.026586972004,0.00199999999999997,20260540,1.53917117501331e-14,"shared"
14,20,0.01,"gaussian","double","double",0.592714109814959,1.36020527521544,0.00999999999999985,178.124042812801,0.001,20260541,1.53917117501331e-14,"shared"
15,20,0.01,"gaussian","double","double",0.593602706242772,1.21091478852481,0.00999999999999983,246.808251987606,0.001,20260542,1.53917117501331e-14,"shared"
16,20,0.01,"gaussian","double","double",0.544043986496293,1.21606340858557,0.00999999999999991,225.240013990176,0.002,20260543,1.53917117501331e-14,"shared"
17,20,0.01,"gaussian","double","double",0.554869248732707,1.37688795906099,0.00999999999999988,196.907511201402,0.003,20260544,1.53917117501331e-14,"shared"
18,20,0.01,"gaussian","double","double",0.83067077116991,1.19956217761636,0.00999999999999985,324.676617823193,0.003,20260545,1.53917117501331e-14,"shared"
19,20,0.01,"gaussian","double","double",0.591352586034103,1.17694934379385,0.00999999999999981,221.775836004905,0.003,20260546,1.53917117501331e-14,"shared"
20,20,0.01,"gaussian","double","double",0.676817464286515,1.33250160373761,0.00999999999999986,243.285540393977,0.003,20260547,1.53917117501331e-14,"shared"
1,20,0.01,"gaussian","single","double",0.647444707425328,1.38054716052191,0.00999999999999988,221.486925625997,0.004,20260548,8.26337710060477e-06,"shared"
2,20,0.01,"gaussian","single","double",0.676167707100117,1.39344287632485,0.00999999999999982,228.60467935748,0.005,20260549,8.26337710060477e-06,"shared"
3,20,0.01,"gaussian","single","double",0.674207466225744,1.28811048111242,0.00999999999999983,317.572266622223,0.005,20260550,8.26337710060477e-06,"shared"
4,20,0.01,"gaussian","single","double",0.62993986906257,1.29442007327009,0.00999999999999974,210.170830084374,0.00399999999999995,20260551,8.26337710060477e-06,"shared"
5,20,0.01,"gaussian","single","double",0.675616025016908,1.30017857865089,0.00999999999999986,187.572597087583,0.005,20260552,8.26337710060477e-06,"shared"
6,20,0.01,"gaussian","single","double",0.582070194864183,1.28159781348675,0.00999999999999989,150.396918489674,0.003,20260553,8.26337710060477e-06,"shared"
7,20,0.01,"gaussian","single","double",0.636815268376248,1.22400104398097,0.00999999999999991,253.84508864242,0.003,20260554,8.26337710060477e-06,"shared"
8,20,0.01,"gaussian","single","double",0.78148017806366,1.36600943049564,0.0099999999999999,221.9984961182,0.003,20260555,8.26337710060477e-06,"shared"
9,20,0.01,"gaussian","single","double",0.671799334349316,1.35746388860969,0.00999999999999993,217.200249983195,0.002,20260556,8.26337710060477e-06,"shared"
10,20,0.01,"gaussian","single","double",0.661811064002036,1.23139764495779,0.00999999999999989,311.235122701644,0.00600000000000001,20260557,8.26337710060477e-06,"shared"
11,20,0.01,"gaussian","single","double",0.757949188791638,1.23079615432532,0.00999999999999985,277.366996318808,0.005,20260558,8.26337710060477e-06,"shared"
12,20,0.01,"gaussian","single","double",0.69548092567838,1.41110561324641,0.00999999999999979,199.195754363357,0.004,20260559,8.26337710060477e-06,"shared"
13,20,0.01,"gaussian","single","double",0.718852095610693,1.24581935221913,0.00999999999999989,332.661753367476,0.005,20260560,8.26337710060477e-06,"shared"
14,20,0.01,"gaussian","single","double",0.708534315118958,1.28965611802987,0.00999999999999985,271.013754061538,0.002,20260561,8.26337710060477e-06,"shared"
15,20,0.01,"gaussian","single","double",0.589237328278878,1.35616526268909,0.00999999999999982,187.13790161493,0.002,20260562,8.26337710060477e-06,"shared"
16,20,0.01,"gaussian","single","double",0.62795294519591,1.27705423016115,0.00999999999999986,219.968316603706,0.001,20260563,8.26337710060477e-06,"shared"
17,20,0.01,"gaussian","single","double",0.61828204330547,1.29902666343652,0.00999999999999987,229.415256992273,0.00199999999999995,20260564,8.26337710060477e-06,"shared"
18,20,0.01,"gaussian","single","double",0.610804786422433,1.11711705131775,0.00999999999999989,277.852565063426,0.003,20260565,8.26337710060477e-06,"shared"
19,20,0.01,"gaussian","single","double",0.597731310321216,1.17045858302867,0.00999999999999989,209.950595413988,0.003,20260566,8.26337710060477e-06,"shared"
20,20,0.01,"gaussian","single","double",0.689102855320748,1.4597423937261,0.00999999999999988,258.962630647028,0.003,20260567,8.26337710060477e-06,"shared"
