"trial","rank","lambda","basis_mode","pearson_error","spearman_error","quantile_error","covariance_error_x","covariance_error_y","runtime","transport_error_proxy"
1,10,1e-06,"shared",1.58341851388686,1.54019372126164,3.00239674942847e-17,10.6175563868949,11.054378098224,0.102,220.284253430341
2,10,1e-06,"shared",1.45605155734719,1.42531518747231,3.00239674942847e-17,11.0824923482691,10.3386524636287,0.072,220.284253430341
3,10,1e-06,"shared",1.68076588722134,1.63434810933024,3.00239674942847e-17,10.2303152917264,12.1266424995806,0.074,220.284253430341
4,10,1e-06,"shared",1.49890161798715,1.45578539253777,3.00239674942847e-17,12.0198740501385,10.7618770085247,0.07,220.284253430341
5,10,1e-06,"shared",1.52946832742887,1.50316368495787,3.00239674942847e-17,11.0459355433051,14.2292806876719,0.0670000000000001,220.284253430341
6,10,1e-06,"shared",1.50523058896474,1.4817203566189,3.00239674942847e-17,13.8742247225442,11.5703447135,0.079,220.284253430341
7,10,1e-06,"shared",1.54321634318612,1.49406742220904,3.00239674942847e-17,11.5395941407871,10.0603255391161,0.0830000000000001,220.284253430341
8,10,1e-06,"shared",1.54174342951151,1.5122900679619,3.00239674942847e-17,9.63637027989036,10.5816057674803,0.0640000000000001,220.284253430341
9,10,1e-06,"shared",1.49038022554745,1.45374505565482,3.00239674942847e-17,10.8828283750386,10.5919250080419,0.078,220.284253430341
10,10,1e-06,"shared",1.53501248936371,1.4838872041224,3.00239674942847e-17,10.5467197233116,10.8666292104606,0.0629999999999999,220.284253430341
11,10,1e-06,"shared",1.5506216932803,1.50034848878083,3.00239674942847e-17,10.73728774422,11.3485399708432,0.077,220.284253430341
12,10,1e-06,"shared",1.45719882153093,1.41934068296019,3.00239674942847e-17,11.7513324776441,11.5619388463996,0.069,220.284253430341
13,10,1e-06,"shared",1.48632978796991,1.45948210052377,3.00239674942847e-17,11.6545099514284,11.7212160302136,0.077,220.284253430341
14,10,1e-06,"shared",1.56285119890411,1.50985340975395,3.00239674942847e-17,11.7301268661704,11.4839075741847,0.0679999999999998,220.284253430341
15,10,1e-06,"shared",1.50724854411678,1.470111739903,3.00239674942847e-17,11.0086282308563,10.0908622833149,0.081,220.284253430341
16,10,1e-06,"shared",1.52337341396742,1.49563457483233,3.00239674942847e-17,10.1535341744183,12.6411739915015,0.0720000000000001,220.284253430341
17,10,1e-06,"shared",1.56683531257851,1.54682558709514,3.00239674942847e-17,12.6804464996541,10.8921915403983,0.0659999999999998,220.284253430341
18,10,1e-06,"shared",1.45852805359298,1.41932694615463,3.00239674942847e-17,10.986761740095,12.1523111689645,0.0760000000000001,220.284253430341
19,10,1e-06,"shared",1.58914527011245,1.56297480931756,3.00239674942847e-17,12.2111538539182,11.3075553065581,0.097,220.284253430341
20,10,1e-06,"shared",1.51209320545311,1.48237483470671,3.00239674942847e-17,11.3146760894809,10.7815159149349,0.0779999999999998,220.284253430341
1,10,1e-06,"independent",1.56552775113942,1.524784390748,3.00239674942847e-17,11.0752173134568,12.3183782055436,0.075,220.284253430341
2,10,1e-06,"independent",1.49705136293905,1.46392119924049,3.00239674942847e-17,12.3195083983959,11.7716601782203,0.077,220.284253430341
3,10,1e-06,"independent",1.58539631693727,1.5586724961014,3.00239674942847e-17,11.5506078363565,11.5839748873378,0.0769999999999997,220.284253430341
4,10,1e-06,"independent",1.53246168376,1.50507146370154,3.00239674942847e-17,11.937295821709,9.90256404216688,0.0539999999999998,220.284253430341
5,10,1e-06,"independent",1.59437226160214,1.55021464015925,3.00239674942847e-17,10.26122958103,13.1978699596484,0.0740000000000003,220.284253430341
6,10,1e-06,"independent",1.49231190756974,1.45824908767034,3.00239674942847e-17,13.2576656159879,11.7637472230382,0.0619999999999998,220.284253430341
7,10,1e-06,"independent",1.66559282468384,1.62973802212116,3.00239674942847e-17,10.2614313761824,11.1027545138684,0.0709999999999997,220.284253430341
8,10,1e-06,"independent",1.54200700663307,1.51188210254022,3.00239674942847e-17,12.1658018084958,11.1420461224062,0.0720000000000001,220.284253430341
9,10,1e-06,"independent",1.48832097148374,1.44406803556524,3.00239674942847e-17,10.999415224521,11.8016533266215,0.0759999999999996,220.284253430341
10,10,1e-06,"independent",1.43078063732241,1.39525052065211,3.00239674942847e-17,13.0748715520346,11.606310832164,0.0749999999999997,220.284253430341
11,10,1e-06,"independent",1.52054031114822,1.48913185013944,3.00239674942847e-17,10.7710881558664,10.7515312080978,0.073,220.284253430341
12,10,1e-06,"independent",1.53256275163382,1.51236157174613,3.00239674942847e-17,11.4090366209659,10.4530793323374,0.0680000000000001,220.284253430341
13,10,1e-06,"independent",1.62202112313256,1.57290262527614,3.00239674942847e-17,10.6126059189495,10.9774518534266,0.073,220.284253430341
14,10,1e-06,"independent",1.43822608585004,1.42880894643694,3.00239674942847e-17,10.6619854942557,11.791059981809,0.0640000000000001,220.284253430341
