"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
1,5,0.01,"gaussian","double","double",0.69542219128508,6.93090858468848,0.00999999999999681,1978.79569570134,0.00599999999999998,20260528
2,5,0.01,"gaussian","double","double",0.632985645417382,7.98572514139947,0.00999999999999801,1869.48003341223,0.003,20260529
3,5,0.01,"gaussian","double","double",0.920296947712545,8.10670981816168,0.00999999999999414,2890.26904255074,0.003,20260530
4,5,0.01,"gaussian","double","double",0.774136833125433,8.58586263621158,0.00999999999999841,2066.74412563332,0.003,20260531
5,5,0.01,"gaussian","double","double",0.717028885872313,6.83145506355842,0.00999999999999696,2081.15688991424,0.002,20260532
6,5,0.01,"gaussian","double","double",0.779249850156335,7.865739125228,0.00999999999999395,2962.2597765358,0.003,20260533
7,5,0.01,"gaussian","double","double",0.754077747201432,7.40726430246938,0.00999999999999627,2478.53599137838,0.004,20260534
8,5,0.01,"gaussian","double","double",0.734743419379237,7.61747119631167,0.00999999999999316,1988.21160488588,0.005,20260535
9,5,0.01,"gaussian","double","double",0.635950764972215,8.28248450206678,0.00999999999999731,1552.42645239344,0.003,20260536
10,5,0.01,"gaussian","double","double",0.70160633747133,7.34175933668239,0.00999999999999588,1764.90947905641,0.002,20260537
1,5,0.01,"gaussian","single","double",0.748932986619226,5.93790973540747,0.0099999999999981,2533.06556548264,0.004,20260538
2,5,0.01,"gaussian","single","double",0.65928285078394,7.14728908596953,0.00999999999999784,2129.18855036592,0.004,20260539
3,5,0.01,"gaussian","single","double",0.640033602439985,5.76606267970874,0.00999999999999699,1964.61408696145,0.003,20260540
4,5,0.01,"gaussian","single","double",0.642816119592288,7.38276676158638,0.00999999999999872,1672.61307990185,0.00299999999999995,20260541
5,5,0.01,"gaussian","single","double",0.722942127928624,9.88028565038843,0.00999999999999655,1965.45347179332,0.003,20260542
6,5,0.01,"gaussian","single","double",0.67014258335442,7.6168101569538,0.00999999999999727,1538.04524159878,0.003,20260543
7,5,0.01,"gaussian","single","double",0.654088681535406,7.60793544456543,0.00999999999999564,2025.58643362285,0.003,20260544
8,5,0.01,"gaussian","single","double",0.853075088060974,8.16882772890613,0.00999999999999479,2256.82043673566,0.003,20260545
9,5,0.01,"gaussian","single","double",0.756591264566485,8.52404369822594,0.00999999999999831,1968.49787416097,0.002,20260546
10,5,0.01,"gaussian","single","double",0.681558421157566,8.51882763729131,0.00999999999999753,2067.09590284426,0.002,20260547
