"trial","rank","lambda","sketch","mult_prec","orth_prec","cov_error","transport_error","lambda_min_reg","condition_est","runtime","seed"
1,5,0.01,"gaussian","double","double",0.855800888287277,2.5913883894927,0.00999999999999989,119.672938269404,0.0440000000000005,301
2,5,0.01,"gaussian","double","double",0.734762731637821,2.2914490251621,0.00999999999999987,146.630665280016,0.0239999999999991,302
3,5,0.01,"gaussian","double","double",0.814248002583495,2.14842538375613,0.00999999999999972,197.044631737539,0.0600000000000005,303
4,5,0.01,"gaussian","double","double",1.02150125434776,2.25516909144595,0.00999999999999972,240.707823910852,0.00799999999999912,304
5,5,0.01,"gaussian","double","double",0.884342599957094,2.58176329288394,0.00999999999999986,149.299889052678,0.0149999999999988,305
6,5,0.01,"gaussian","double","double",0.821402147876237,2.22213336734129,0.00999999999999983,134.318304879973,0.011000000000001,306
7,5,0.01,"gaussian","double","double",0.828640600870728,2.20985440752356,0.00999999999999972,166.741777854633,0.00999999999999979,307
8,5,0.01,"gaussian","double","double",0.93308104842749,2.39754439932961,0.00999999999999988,186.00326494589,0.00900000000000034,308
9,5,0.01,"gaussian","double","double",0.881300914754196,2.38593616406733,0.00999999999999967,172.999473060174,0.00500000000000078,309
10,5,0.01,"gaussian","double","double",0.900152295596687,2.39311698907712,0.00999999999999986,114.978280579488,0.00699999999999967,310
1,5,0.01,"gaussian","single","double",0.831173627513931,2.52271699912556,0.00999999999999973,140.432898699187,0.00799999999999912,311
2,5,0.01,"gaussian","single","double",0.782972053618613,2.45606438848538,0.00999999999999986,116.302250572109,0.0120000000000005,312
3,5,0.01,"gaussian","single","double",0.778475952079089,2.16119098969417,0.00999999999999984,127.390768407673,0.00900000000000034,313
4,5,0.01,"gaussian","single","double",0.74534673709257,2.1912761258354,0.00999999999999982,184.959940889623,0.00699999999999967,314
5,5,0.01,"gaussian","single","double",0.778463361073172,2.31690193808691,0.00999999999999991,163.151339118488,0.00600000000000023,315
6,5,0.01,"gaussian","single","double",0.771183923362046,2.23302211400632,0.0099999999999998,145.146149202979,0.00799999999999912,316
7,5,0.01,"gaussian","single","double",0.94944782640159,2.48915438323038,0.00999999999999982,180.781414426593,0.00900000000000034,317
8,5,0.01,"gaussian","single","double",0.810675181132623,2.66175732418615,0.00999999999999986,154.340702350712,0.0109999999999992,318
9,5,0.01,"gaussian","single","double",0.883656482734653,2.02171527585253,0.0099999999999997,162.749461697112,0.00900000000000034,319
10,5,0.01,"gaussian","single","double",0.888425267203332,2.73486746086651,0.00999999999999976,171.720372140097,0.00999999999999979,320
1,5,1e-04,"gaussian","double","double",0.82241676747676,28.5596806325774,9.99999999997713e-05,13266.5047093435,0.00399999999999956,321
2,5,1e-04,"gaussian","double","double",0.91701502316912,24.5939271114656,9.99999999995961e-05,21584.9748938454,0.00999999999999979,322
3,5,1e-04,"gaussian","double","double",0.900197435169203,21.8461121755221,9.99999999998221e-05,17488.2001791731,0.00999999999999979,323
4,5,1e-04,"gaussian","double","double",0.801790169175729,26.2495479127036,9.99999999997922e-05,13680.7175372629,0.00899999999999856,324
5,5,1e-04,"gaussian","double","double",0.778594536725813,24.3870242756832,9.99999999998715e-05,13001.8661362011,0.00699999999999967,325
6,5,1e-04,"gaussian","double","double",0.851692773820566,26.3802585920295,9.9999999999896e-05,11402.0329558779,0.00699999999999967,326
