"s","trial","res_ratio","sol_error","kappa"
30,1,3.2210831907718,1.31995199340373e-15,0.014236685577127
30,2,3.40069248675664,1.22979440018582e-15,0.032962304936248
30,3,2.36607404185383,8.71365951409179e-16,0.0247323304578765
30,4,2.17861325319924,9.6691438721499e-16,0.026847951335122
30,5,1.89094920992853,8.42234241239755e-16,0.0479005402527492
30,6,3.94020479434737,1.46322171955463e-15,0.0265039387643601
30,7,5.64941372010787,2.24047847725679e-15,0.0231167367094017
30,8,1.61442168588035,6.99087964914076e-16,0.0243495951065738
30,9,3.47378225206891,1.29306432188009e-15,0.0292501522072828
30,10,3.07785616996252,1.1848737874814e-15,0.0475293390451796
30,11,2.20226305783249,7.77948729495874e-16,0.0375832614850587
30,12,2.74720398049564,1.16863828542619e-15,0.0412810111304543
30,13,3.3328645696966,1.21136474409136e-15,0.0217355865022948
30,14,2.93483837410583,1.11022302462516e-15,0.038330437773073
30,15,2.69764931435306,1.04443607774767e-15,0.0265274794794925
30,16,3.41964295461094,1.32554306111245e-15,0.0283727808954765
30,17,3.74396791936884,1.42589120331487e-15,0.0173921415005457
30,18,3.17865917418428,1.05412738353278e-15,0.0209854580643294
30,19,2.6995427521317,1.11410202879211e-15,0.0251172126763374
30,20,3.21735875297655,1.34401198411312e-15,0.0215305442727297
40,1,1.94727065178727,6.85736870250964e-16,0.0605728351357935
40,2,1.51620278870746,6.03005450638972e-16,0.0573089474195102
40,3,1.467486757502,6.69364132787414e-16,0.0539547990706558
40,4,1.58370812734019,6.08094194448812e-16,0.0613972454369541
40,5,2.44861359946896,9.01607736727544e-16,0.0714628372757506
40,6,1.88354200376598,7.76362695777836e-16,0.0441999861312333
40,7,1.707159383639,7.3266308362003e-16,0.0506737031726027
40,8,1.87229496130235,7.30978798441374e-16,0.0785379187759833
40,9,1.35403596709584,5.60635145994253e-16,0.0365301504022607
40,10,1.21720122195916,6.09612534376518e-16,0.0505878699766585
40,11,2.39375137797439,1.07324749295729e-15,0.0391692358001154
40,12,1.15655760285065,5.32444257940492e-16,0.0562789670776724
40,13,2.31935734868199,8.38934943173111e-16,0.0394138240378416
40,14,1.8086220696236,7.09153599073145e-16,0.0504828030472497
40,15,1.74863045107209,6.36323433096702e-16,0.0388615440312252
40,16,2.15659791920217,8.58899415471967e-16,0.0418261715523627
40,17,2.93334433052299,1.06517784845415e-15,0.0651709767311886
40,18,2.22078336263379,9.24889746996384e-16,0.0457290503680956
40,19,1.71335410310729,7.50940934905391e-16,0.0280806264915903
40,20,1.32910776882251,5.31865199304859e-16,0.0484866144304756
60,1,2.26190261913709,8.0174707872164e-16,0.0922386097517432
60,2,1.89148020801436,8.59258112257482e-16,0.110455525548331
60,3,1.13834284119874,4.9026121308903e-16,0.0947993969468385
60,4,2.04626014511837,8.12816712502024e-16,0.0668233079289979
60,5,2.33755490485081,9.26886632545889e-16,0.0969062684284981
60,6,2.0305193164318,7.46413433903986e-16,0.0928755002930619
60,7,1.91945459676411,9.09773407448172e-16,0.11151143461883
60,8,1.65963771121498,6.6335245058234e-16,0.0757935080422775
60,9,1.53103915004238,7.06105334920341e-16,0.0999877291459311
60,10,1.43076329297362,5.54556122966606e-16,0.0730346587716246
60,11,1.97658417904379,6.92444596306915e-16,0.0891465731626074
60,12,1.6587596450967,7.55033286377907e-16,0.10755139074326
60,13,1.7464409759689,6.30974039167801e-16,0.086397557519523
60,14,2.04974970561517,8.73132354907458e-16,0.17278480660713
60,15,2.134640362818,8.63907617774575e-16,0.0728009815584907
60,16,2.18506763372593,8.95090418262362e-16,0.0933678903691857
60,17,1.64112588441223,7.61535307686968e-16,0.137177931781197
60,18,2.13186668893925,7.69985892130607e-16,0.0869671935102634
60,19,1.41942638504985,6.40185826276718e-16,0.0750832474330863
60,20,1.83172396228563,7.72383363086874e-16,0.0859746716608696
80,1,2.24047843747428,9.5601742369499e-16,0.101373510456183
80,2,1.59938589625643,5.30124228351228e-16,0.153822603512325
80,3,1.74780790750891,6.87083654272316e-16,0.110028409362846
80,4,1.46729081974882,6.38740165810004e-16,0.0625565892202632
80,5,1.69221632858976,5.75819502297123e-16,0.107377938670541
80,6,1.66058658921692,8.07873219975725e-16,0.103987956357705
80,7,1.82059325503814,7.39778516177022e-16,0.112680499005382
80,8,2.0198982483325,7.06105334920341e-16,0.0918304240281492
80,9,1.74625707170795,7.55849097838338e-16,0.117803099608649
80,10,2.18535881365474,9.345018319848e-16,0.0755111057718799
80,11,1.86292243361119,8.16976304140359e-16,0.0838254309992524
80,12,1.88779906619028,8.67111901826273e-16,0.0992996378567532
80,13,1.57015252398132,6.382575513355e-16,0.107716109072711
80,14,1.59252957695793,6.91108259397928e-16,0.11042386275221
80,15,2.29420853239687,8.31185652938373e-16,0.089255494823376
80,16,1.45980972119398,5.1178752665209e-16,0.0840972120264984
80,17,1.94518720776919,6.54466820879196e-16,0.123790278838881
80,18,1.84827244315705,7.81505536745633e-16,0.103233742775753
80,19,1.66076149756474,6.19639728965985e-16,0.083804388443647
80,20,2.28114876366966,9.88036117867663e-16,0.114023387861385
100,1,1.3189752730695,5.56220627329089e-16,0.170684118638466
100,2,1.21547890847131,5.70442918619968e-16,0.106241550899775
100,3,1.16946833618815,5.10581900650871e-16,0.123413599391971
100,4,1.84333405666386,8.21865043724024e-16,0.154954293529127
100,5,1.34036887572499,5.22512994016737e-16,0.131435729805296
100,6,1.11247684885708,5.8008489023878e-16,0.118644561487167
100,7,1.61878375722921,6.88427803560265e-16,0.206818696889949
100,8,1.40033282511507,5.21922917042479e-16,0.142839163838527
100,9,0.860431509370622,4.48920159249593e-16,0.148790403778952
100,10,1.1636173070345,4.97746550009113e-16,0.160111027972836
100,11,1.38580791854255,6.17647313103703e-16,0.150954218788573
100,12,1.2688684488628,6.04536571471836e-16,0.1266641889466
100,13,1.51899347709581,6.23605463711368e-16,0.178522873654353
100,14,1.10687788358611,4.31418439366681e-16,0.103658066902606
100,15,1.00916510797558,4.82020941962978e-16,0.0889465287383502
100,16,1.37456216621952,5.72599610314645e-16,0.115214755093055
100,17,0.951572201827449,5.00832423028895e-16,0.110137617164126
100,18,1.06793499907688,4.96506830649455e-16,0.145450722747244
100,19,1.83576423175701,6.57285786492409e-16,0.125810053732826
100,20,1.3416195259332,5.70982855246873e-16,0.1047564764422
150,1,1.07355739659273,4.48920159249593e-16,0.236172170462575
150,2,1.50837674914077,5.461575137144e-16,0.162191629684865
150,3,1.36669780119467,5.66104886700368e-16,0.204418865104138
150,4,1.19703683461867,5.48409719202268e-16,0.182763106469214
150,5,1.02129493874842,5.50652713099941e-16,0.257737812605532
150,6,1.19750301572825,5.03899398558892e-16,0.183471618584833
150,7,0.795496761171656,4.03364056036025e-16,0.173539131737841
150,8,0.9870857182975,5.30705186584029e-16,0.117316672869995
150,9,0.946978728688928,5.16581893889338e-16,0.228654616974987
150,10,1.16153321314814,4.40606103446415e-16,0.132058019679466
150,11,0.96069130711158,4.97746550009113e-16,0.156161919622065
150,12,1.10643300190026,4.2927028441178e-16,0.213840633311159
150,13,1.16688787634103,5.73137515186964e-16,0.142552192311817
150,14,1.13647602400497,4.85841511178388e-16,0.17380760997614
150,15,1.18967342830783,5.31285509542085e-16,0.188025755876813
150,16,1.10654057477056,5.75284105154577e-16,0.134967630245813
150,17,1.13108131867756,4.80740671595891e-16,0.187803268211135
150,18,1.41743405880249,6.95995617523758e-16,0.147732317538658
150,19,1.06017933384508,4.96506830649455e-16,0.147807449877851
150,20,1.50885858202811,5.80615860501194e-16,0.167004739826169
200,1,1.30999716799754,5.09978018830275e-16,0.28206147364214
200,2,1.30977900101119,5.49532360539321e-16,0.182584858721501
200,3,1.14535238080348,3.94090079442996e-16,0.156836370836492
200,4,1.22622551448263,5.24866668064519e-16,0.235709562016106
200,5,1.17313764675146,5.09978018830275e-16,0.208485975320596
200,6,1.15007626534735,6.09612534376518e-16,0.200178671891242
200,7,1.16216646905811,5.16581893889338e-16,0.178519032778953
200,8,0.977175135818493,4.55056026902749e-16,0.200494284059501
200,9,1.1092730289625,5.14789238764452e-16,0.215722483041359
200,10,0.880059818046569,4.50974724488293e-16,0.20954817176597
200,11,1.14480911611298,5.05730656194209e-16,0.206491529694728
200,12,1.23877658810497,4.39906172736902e-16,0.145039940658756
200,13,1.16990792288375,5.62281655107659e-16,0.143857196594788
200,14,1.07418885933053,5.52328980944272e-16,0.213267185925985
200,15,1.05815398300082,4.09430021321672e-16,0.211811986807257
200,16,0.807122331367592,4.80740671595891e-16,0.200369897255121
200,17,0.985106162706573,4.11681715778193e-16,0.23818614484009
200,18,1.06548982832287,5.41055774894659e-16,0.168813056486525
200,19,1.05737629947994,3.57174466495312e-16,0.177875047203393
200,20,0.883805487282492,4.71027737605132e-16,0.200348032028311
300,1,1.32103015025858,4.91516685600738e-16,0.25273987001848
300,2,1.02060159523802,4.71027737605132e-16,0.225658325536217
300,3,1.02436409967856,4.1392116139754e-16,0.212556195386966
300,4,0.81942174837329,4.15407418105522e-16,0.278504117155414
300,5,0.9661431266494,5.22512994016737e-16,0.209036123979417
300,6,1.07431862579959,5.461575137144e-16,0.224511588950871
300,7,1.09923200155872,5.11185069084045e-16,0.207286268673764
300,8,1.10982764995785,5.03287498638511e-16,0.299068454460672
300,9,0.99022734156273,4.48920159249593e-16,0.243525160747767
300,10,0.925833998575308,5.33022687505893e-16,0.348525845661845
300,11,0.911095840101866,5.27794000682245e-16,0.288266030563606
300,12,0.888992756757457,5.6936150927092e-16,0.191604899230244
300,13,1.12986953306062,4.363896801037e-16,0.221176515890455
300,14,1.09519948312438,4.22760332622558e-16,0.260361636513799
300,15,1.19557486702843,5.48971326844777e-16,0.251097931982645
300,16,1.03818298557507,5.50092822041992e-16,0.268505055874395
300,17,0.830182662173236,4.59101048913787e-16,0.282635710975633
300,18,0.781554281029208,3.52834396856643e-16,0.215192971156777
300,19,0.85235379419576,4.28551839917608e-16,0.237412957406084
300,20,0.988567614158975,4.3568297570459e-16,0.288513734401868
